Name,Affiliation,Capabilities,Description,Location,Mannerisms,Motivation,Quote / Flavor,Race,Role,Status
Kalli Alran,Ikar's Salvage,,Female. Kalli is a brown-skinned Cyran human in her forties who was visiting Sharn on the Day of Mourning. She has a friendly personality and has made it a personal mission to recover artifacts from her homeland.,"Sanctuary, Talenta Plains",Always smiling :),Loyalty,"“No one lives forever, eh?”",Human,"Quest giver, Scavenger",Alive
Raloug d’Kundarak,Snorri d'Kundarak,,Financial agent seeking investment,Cyre,,,,,Father,Deceased
Hurgela d’Doldarun,Snorri d'Kundarak,,"Bookkeeper in Kundarrak Ward in Metrol, Cyre",Cyre,,,,,Mother,Deceased
Jalira Stormtongue,"Flayer Guard, Snorri d'Kundarak",,Member of the Flayer Guard in Graywall,Graywall,,,,Harpy,Lover,Alive
Udaena Mroranon,Snorri d'Kundarak,,,,,,,,Wife,Alive
Reibal d'Kundarak,Snorri d'Kundarak,,Rebellious teenage son.,M'ror Holds,,,,,"Guard, Son",Alive
Undon d'Kundarak,Snorri d'Kundarak,,"Bookwork, Ashamed of Father",M'ror Holds,,,,,"Son, Warder",Alive
Jurian ir'Wynarn,"Royal Eyes, Royal Family",,"Agent of the Royal Eyes, infected by mind seed, a type of symbiotic relationship with an Inspired contact","Aundair, Fairhaven",,,,Human,,Alive
Rosebrix (Brix),"Royal Eyes, Syndra",,"Agent of the Royal Eyes, previous connect w/ Syndra.",,,,,Halfling,Agent,Alive
Lhara Finewind d'Lyrandar,House Lyrandar,,"Silver Dragon. A tall woman, seems to have a hint of elven blood (her eyes and ears), her coat is a long black-oil stained leather, with blue, silver trim coiling along the edges forming the tentacles of a Kraken. Offers to provide the equipment necessary for the expedition, as well as a specialized vessel, in exchange for finding her brother, Kymil.",Not Applicable,,,,Half-elf,,Deceased
Lady Valeriya ir'Rurik,"Cyran Avenger, Nobility",,"Last scion of the noble House of Rurik, a mage of Cyre (see profile)","Aundair, Stormhome",,,,Human,,Alive
Sergeant Corbin Hayworth,House Lyrandar,,"Well-groomed, militaristic-looking man, he has a hard stare and cold demeanor",Other plane,,,,Human,,Alive
Rhysimor Maceck,Cyran Avenger,,"A Cyran battlefield commander, led his platoon on a scouting mission into a cliffside cave complex on the southern shore of Lake Cyre. The cataclysm collapsed the entry way and Rhysimor returned from the expedition as the sole-survivor. Accepted mercenary work (Breland, Thrane and now, Aundair). Imprisoned by the Warforged of the Vaults.","Cyre, Metrol",,,,Human,,Alive
Pierce,House Lyrandar,,Veteran of the Last War under the command of Rhysimor Maceck.,Following Party,,,,Warforged,Guard,Alive
Lady Hana Aurora d'Cannith,Cyran Avenger,,"Minor scion, from the ruined city of Eston, will work with Rhysimor to excavate the remaining affixed conductor stones from the abandoned railway line to erect an arcanic defensive parameter (as necessary). Also imprisoned.","Cyre, Metrol",,,,Human,,Alive
Screw,House Lyrandar,,Veteran of the Last War under the command of Rhysimor Maceck.,Following Party,,,,Warforged,Guard,Alive
Ensign Siohbhan Mason,House Lyrandar,,"Junior officer of Aundair's Corps, assistant to Corbin Hayworth.",Not Applicable,,,,Human,,Deceased
Corporal Sigret Ashlen,House Lyrandar,,A silver-haired ambitious and studious soldier.,Following Party,,,,Human,Deck Hand,Alive
Connya Rhaegg,House Lyrandar,,"(female, fighter) Long, wavy, auburn hair shaved on the right side and golden eyes.",Following Party,,,,Half-elf,Deck Hand,Alive
Frazul d'Rilases,"House Sivis, Power of Purity",,"Wizard with elemental affinity, employed to control elementals.",Following Party,,,,Gnome,Wizard,Alive
Roywin d'Garrik,Power of Purity,,"Wizard with elemental affinity, employed to control elementals.",Following Party,,,,Gnome,Wizard,Alive
Laila McKinnon d'Vadalis ,House Vadalis,,"Female monk. She has very long, blond mohawk and brown eyes. Sovereign Host ~ Arawei.","Aundair, Fairhaven",,,,Human,Deck Hand,Alive
Nob Guzzmasha,House Lyrandar,,The ship's artificer and mechanic has been injected with a paralytic poison (Blue Whinnis); he too lies consciously suffering in his quarters.,Following Party,,,,Goblin,Mechanic,Alive
,,,,,,,,,,
Dalasskash'alyntar,Silver Flame,,"Dalasskash'alyntar is a servant or bloodsworn shulassakar priestess who resides in Silver Light's Stead. Out of pity, she watched over four young children who were mutated into beings known as wretchlings by her corrupted kin, the yuan-ti. She feels pity for their situation, and evades the wrath of her former commander Sesstaria to protect these children from being destroyed as monsters. ""The Shadow in the Flame"" known as the ""Sykharn"" in Sarlona, worshipped by the yuan-ti (see Shrine of the Serpent, Faiths of Eberron). The bloodied writing was a death threat from worshippers of Syhkarn. Only Solessia has survived.",Following Party,,,,Shulassakar,"Dragon Prophet, Priest",Alive
Solesia Daran,Silver Flame,,"Solesia, a wretchling, a humanoid tainted by the Mourning; born with a unnatural ability to channel divine energy, the child claimed to hear the voices of spirits; now, she is entirely unable to utter comprehensible speech.",Following Party,,,,Wretchling,Priest,Alive
Lady Vidanya (Anya Lyre) Lorridan d'Sivis,House Sivis,,"As indicated by her name, Anya is the great-grand-daughter of Doyenne Lysse Lorridan d'Sivis, ruler of House Sivis's ruling council. Anya is a Chronicler, a journalist working specifically for the prestigious Korranberg Chronicle.","Aundair, Fairhaven",,,,Gnome,"Chronicler, Information broker",Alive
Tanila Robideur,Arcane Congress,,"Tanila is the current head librarian of the Arcane Congress, whose library was founded by her great-great-great-great-great-great-great-great-grandfather and bears his name. Her main topic of research is pre-Galifaran thaumatology, and she is herself a talented arcanist with a focus on symbol- and glyph-related magic. She hasn't published any papers.","Arcanix, Aundair",,,,Human,Researcher,
Ulina Pyranim,Morgrave University,,"Ulina is a student at Morgrave University studying Ancient Giantish language and culture. She isn't particularly noteworthy, except that she's been constantly plastering ""looking for Xen'drik adventuring party"" notices in every tavern and guildhall in Sharn for years now, so she's become a running joke to the Watch who amuse themselves by reading over her latest postings whenever they crop up.","Breland, Sharn",,,,Halfling,"Researcher, Student",
Aldric d'Cannith,House Cannith,"Aldric is a prodigy when it comes to crafting and using potions and wands, and was the youngest person chosen to head any branch of the Fabricators Guild since before the Last War. He studies arcane magic as well, specializing in spells for the creation, shaping, and animation of matter.","The 37-year-old arcanist is the nephew of famed artificer Aaren d'Cannith, the man who discovered how to grant sapience to warforged, and the second cousin of Baron Merrix d'Cannith. He has spent much of his time with the Twelve researching everything he can about warforged, making him a person of interest to the intelligence agencies of every nation of Khorvaire, since they all keep tabs on anyone who might be inclined to break the Treaty of Thronehold's prohibition on the creation of warforged either accidentally or intentionally.",Metrol,,,,Human,Researcher,
Toahil Ziventi,Morgrave University,"Toahil has the art of elemental binding down to a science and is one of the most efficient crafters in the binders' ranks. He specializes in air and water elementals (and their variations, such as ice paraelementals and lightning quasielementals) to the point that much of his body has been replaced by such elemental matter, and he can summon powerful elementals with a thought. His expertise with elemental grafting extends to construction of warforged grafts and elemental arms and armaments, and between that and his combat experience as a mercenary during the Last War he has a good amount of weapons training as well.","The 223-year-old gnome is, to the public, a beloved professor who has taught several generations of Breland's best and brightest at Morgrave University. Students love to hear the exciting tales of his youth spent relic-hunting in Xen'drik that he tells to illustrate almost every lesson, and students with little to no interest in either history or magic will take his classes just for that tendency. Toahil only teaches one or two small and specialized classes each term; during his youth the rest of his time was spent on expeditions, and now that he's gained tenure most of his time is spent in research. What most don't know, however, is that his true specialization lies in elemental binding. He is one of the premier elemental binders in Zilargo, and more than one sabbatical taken during the Last War for a ""Xen'drik expedition"" was in fact dedicated to optimizing magical crafting procedures to allow Zilargo to meet wartime production quotas for its clients. He literally wrote the book on much of modern elemental theory--quite a few books, actually--and every Zilargo-trained artificer knows his name.","Breland, Sharn",,,,Gnome,Researcher,
Adassa Sano,"Fangli Towger, House Cannith, Snorri d'Kundarak",,"""The Cannith grift"": Fangli Towger was an easy target when Adassa Sano, Tabak Verna, & Novalie Marthea (House Cannith) arrived at his homestead in the Demon Wastes. Like butcher's dogs, they almost slobbered in glee, almost fell over themselves with promises they could deliver the Ghash'kaala not just sanctifiable warforged but enough plans to construct these machinations themselves in exchange for carts of endless thousands of gold in fortune. One year later, Fangli received a parcel: a metal doll with a lacquered smile. Since Fangli's fall, Snorri holds a grudge against those who betrayed his comrade, inscribing their names in a Book of Grudges in blood — a personal vow of vengeance.","Cyre, Metrol",,,,Human,Researcher,
Novalie Marthea,"Fangli Towger, House Cannith, Snorri d'Kundarak",,"See description for Adassa Sano. Novalie, a fallen aasimar, empowered with the divinity of the Flame coursing her veins, informed Adassa initially of the ""simple-minded"" folk in the Wastes, the heretics of her faith. She intended for the provisioned warforged to be fulfilled in due time, but time allowed Adassa to persuade her accomplice to disavow herself from that initial promise.","Cyre, Metrol",,,,Aasimar,Researcher,
Tabak Verna,"Fangli Towger, House Cannith, Snorri d'Kundarak",,See description for Adassa Sano. Tabak serves as Adassa's trust right hand and advisor. Tabak's talent for artifice makes him a formidable opponent.,"Cyre, Metrol",,,,Gnome,Researcher,
Blaise Maddred,Cyran Avenger,,"Prisoner 1374-12, Blaise Maddred rots in the Sepulchre beneath the city, sustained by disillusioned warforged provisioning his desperate needs for water and substance. Since his imprisonment (ca. 993 YK), Blaise has learned of the religion and practices of his captors - the worship of the ""Becoming God"".","Cyre, Metrol",,,,Human,Soldier,
Baron Jorash Mror'anon,"Aurum, House Kundarak",,,"Cyre, Metrol",,,,Dwarf,Leader,
,,,,,,,,,,
